,token,orientation,orientation_covariance,angular_velocity,angular_velocity_covariance,linear_acceleration,linear_acceleration_covariance
488,833,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.023702133701705222, 0.011851066850852611, -0.007190534943213943]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0, -3.356670727539062, 9.277531433105468]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
489,834,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.019707392066586362, 0.02024002428460221, -0.0073236929977179045]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[-0.0143652099609375, -3.399766357421875, 9.421183532714844]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
490,835,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.023835291756209184, 0.027430559227816155, -0.010253170196805066]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[-0.03591302490234375, -3.356670727539062, 9.299079248046874]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
491,836,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02436792397422503, 0.019174759848570515, -0.01384843766841204]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.10773907470703124, -3.3399113159179685, 9.22485899658203]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
492,837,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02583266257376861, 0.021438446775137867, -0.009187905760773371]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.12210428466796874, -3.5386300537109374, 9.246406811523437]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
493,838,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.025566346464760685, 0.017576863194522972, -0.013315805450396189]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0383072265625, -3.545812658691406, 9.272743029785156]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
494,839,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.031158984753927088, 0.02356897564720126, -0.005060006071150552]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.05027823486328125, -3.4668040039062498, 9.2320416015625]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
495,840,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02090581455712202, 0.024900556192240877, -0.011451592687340723]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.1197100830078125, -3.4931402221679684, 9.196128576660156]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
496,841,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.013582121559404116, 0.017710021249026934, -0.01265001517787638]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0430956298828125, -3.517082238769531, 9.150638745117186]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
497,942,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.019041601794066554, 0.015046860158947694, -0.015180018213451656]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.086191259765625, 3.5051112304687497, 9.3086560546875]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
498,943,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01251685712337242, 0.007590009106725828, -0.019307917903074477]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.086191259765625, 3.392583752441406, 9.311050256347656]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
499,944,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.009187905760773371, 0.0018642127630554665, -0.01744370514001901]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.05985504150390625, 3.347093920898437, 9.179369165039063]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
500,945,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022770027320177483, 0.005326322180158476, -0.014913702104443732]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.09337386474609374, 3.3590649291992185, 9.14824454345703]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
501,946,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.019973708175594285, 0.009986854087797143, -0.020106866230098247]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.04548983154296875, 3.2800562744140622, 9.114725720214842]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
502,947,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.014514227940931847, 0.011318434632836761, -0.015579492376963544]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.00239420166015625, 3.3351229125976563, 9.215282189941405]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
503,948,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.018375811521546742, 0.009321063815277333, -0.017576863194522972]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.040701428222656245, 3.4093431640625, 9.215282189941405]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
504,949,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.015180018213451656, 0.0021305288720633903, -0.01478054404993977]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0383072265625, 3.394977954101562, 9.200916979980468]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
505,950,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.018508969576050704, 0.006791060779702058, -0.014247911831923924]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.13646949462890623, 3.4548329956054684, 9.191340173339842]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
506,951,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.015845808485971467, 0.0018642127630554665, -0.017976337358034857]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0909796630859375, 3.394977954101562, 9.270348828125]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
507,952,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01944107595757844, 0.005060006071150552, -0.014114753777419962]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0718260498046875, 3.383006945800781, 9.246406811523437]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
508,953,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.013315805450396189, 0.015446334322459582, -0.0167779148674992]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.07422025146484375, 3.303998291015625, 9.282319836425781]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
509,954,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.014247911831923924, 0.011584750741844684, -0.017576863194522972]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.09337386474609374, 3.3590649291992185, 9.167398156738281]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
510,955,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01744370514001901, 0.01038632825130903, -0.018642127630554665]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[-0.00718260498046875, 3.383006945800781, 9.14824454345703]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
511,956,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.014647385995435809, 0.0055926382891664, -0.011984224905356573]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.13168109130859373, 3.323151904296875, 9.200916979980468]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
512,957,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.014913702104443732, 0.00625842856168621, -0.01611212459497939]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.13407529296874998, 3.375824340820312, 9.265560424804686]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
513,958,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0195742340120824, 0.011984224905356573, -0.020106866230098247]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0909796630859375, 3.399766357421875, 9.205705383300781]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
514,959,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01691107292200316, 0.0, -0.014913702104443732]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.07422025146484375, 3.392583752441406, 9.167398156738281]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
515,960,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.013981595722916, 0.0083889574337496, -0.02343581759269729]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0430956298828125, 3.414131567382812, 9.212887988281249]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
516,961,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01824265346704278, 0.008788431597261486, -0.017044230976507122]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0718260498046875, 3.3877953491210935, 9.258377819824219]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
517,962,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.011984224905356573, 0.007456851052221866, -0.022770027320177483]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.09337386474609374, 3.399766357421875, 9.330203869628905]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
518,963,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01597896654047543, 0.00905474770626941, -0.01744370514001901]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.14125789794921875, 3.3303345092773435, 9.356540087890625]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
519,964,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.015845808485971467, 0.00625842856168621, -0.011318434632836761]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06943184814453125, 3.318363500976562, 9.074024291992187]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
520,965,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.013182647395892227, 0.007190534943213943, -0.01611212459497939]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0526724365234375, 3.268085266113281, 9.09796630859375]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
521,966,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.017177389031011087, 0.00625842856168621, -0.0111852765783328]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.1292868896484375, 3.3494881225585935, 9.251195214843749]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
522,967,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.021971078993153714, 0.007989483270237714, -0.01344896350490015]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.040701428222656245, 3.361459130859375, 9.289502441406249]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
523,968,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01611212459497939, 0.01038632825130903, -0.018642127630554665]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.09576806640624999, 3.3399113159179685, 9.162609753417968]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
524,969,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022903185374681445, 0.0049268480166465905, -0.013182647395892227]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.023942016601562498, 3.383006945800781, 9.1554271484375]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
525,970,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.023835291756209184, 0.010652644360316953, -0.014381069886427886]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.07422025146484375, 3.430890979003906, 9.169792358398437]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
526,971,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.016511598758491276, 0.00625842856168621, -0.019041601794066554]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.07422025146484375, 3.402160559082031, 9.255983618164063]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
527,972,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.017177389031011087, 0.013182647395892227, -0.02316950148368937]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.033518823242187495, 3.356670727539062, 9.258377819824219]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
528,973,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.016245282649483352, 0.010519486305812991, -0.019174759848570515]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.09576806640624999, 3.2800562744140622, 9.205705383300781]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
529,974,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.017177389031011087, 0.005992112452678286, -0.015046860158947694]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.07422025146484375, 3.3710359375, 9.184157568359375]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
530,975,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.018775285685058627, 0.005193164125654515, -0.015180018213451656]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.016759411621093748, 3.375824340820312, 9.167398156738281]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
531,976,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022104237047657675, 0.0042610577441267805, -0.016511598758491276]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06703764648437499, 3.373430139160156, 9.205705383300781]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
532,977,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01265001517787638, 0.004660531907638666, -0.020506340393610132]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.11731588134765625, 3.366247534179687, 9.217676391601563]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
533,978,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02037318233910617, 0.01344896350490015, -0.017976337358034857]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.11013327636718749, 3.375824340820312, 9.248801013183593]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
534,979,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02343581759269729, 0.005326322180158476, -0.01597896654047543]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.105344873046875, 3.4165257690429685, 9.330203869628905]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
535,980,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0195742340120824, 0.00692421883420602, -0.014247911831923924]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.13646949462890623, 3.4261025756835934, 9.117119921875]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
536,981,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.014247911831923924, 0.005193164125654515, -0.013981595722916]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.047884033203124995, 3.3782185424804685, 9.244012609863281]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
537,982,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.013049489341388266, 0.0042610577441267805, -0.01384843766841204]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06703764648437499, 3.4835634155273434, 9.246406811523437]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
538,983,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02090581455712202, 0.005326322180158476, -0.018508969576050704]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06703764648437499, 3.423708374023437, 9.306261853027344]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
539,984,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.012250541014364496, 0.005858954398174323, -0.014514227940931847]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06464344482421874, 3.318363500976562, 9.143456140136719]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
540,985,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02090581455712202, -0.0003994741635118857, -0.014381069886427886]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.05746083984375, 3.303998291015625, 9.13627353515625]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
541,986,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.013981595722916, 0.0055926382891664, -0.017843179303530896]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.08858546142578125, 3.3686417358398435, 9.196128576660156]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
542,987,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.017576863194522972, 0.015446334322459582, -0.013315805450396189]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.0718260498046875, 3.3710359375, 9.277531433105468]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
543,988,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02024002428460221, 0.009587379924285258, -0.013049489341388266]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[-0.011971008300781249, 3.447650390625, 9.165003955078124]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
544,989,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.021172130666129944, 0.01038632825130903, -0.019307917903074477]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.062249243164062495, 3.3686417358398435, 9.176974963378905]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
545,990,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.015446334322459582, 0.0083889574337496, -0.018642127630554665]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.13407529296874998, 3.3973721557617185, 9.198522778320312]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
546,991,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0167779148674992, 0.014114753777419962, -0.021837920938649752]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.086191259765625, 3.4428619873046875, 9.313444458007812]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
547,992,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.015712650431467506, 0.004793689962142629, -0.015313176267955617]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.08858546142578125, 3.3686417358398435, 9.320627062988281]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
