token,lat,lon,hgt,lat_std,lon_std,hgt_std
3688,48.136701352068755,11.55189950834438,521.9939586836845,0.010235278867185116,0.005920657888054848,0.01609848253428936
3689,48.136701332873386,11.551899509362304,521.9908210318536,0.010314038954675198,0.0059659723192453384,0.016272854059934616
3690,48.13670135985089,11.55189949936969,521.9927336750552,0.010410059243440628,0.006014406215399504,0.016453305259346962
3691,48.13670134582341,11.551899509606843,521.9915678557009,0.010486329905688763,0.006059985142201185,0.016617344692349434
3692,48.13670134230734,11.551899511346495,521.9920325912535,0.010570116341114044,0.006105341482907534,0.016783155500888824
3693,48.136701368089646,11.551899515508724,521.9931661775336,0.010655522346496582,0.006151466630399227,0.016948537901043892
3694,48.13670135534569,11.551899515934458,521.9934426164255,0.010738418437540531,0.006198169197887182,0.017112843692302704
3695,48.136701360770275,11.551899495145825,521.9932222133502,0.010838320478796959,0.006247843150049448,0.017285224050283432
3696,48.13670134962748,11.551899508604478,521.9955365583301,0.010910392738878727,0.006290641613304615,0.017441043630242348
3697,48.136701347713455,11.551899502187888,521.9924063831568,0.011063425801694393,0.006381139159202576,0.01776869222521782
3698,48.13670136145472,11.551899490658501,521.9931886428967,0.011140258051455021,0.00642819982022047,0.01793617755174637
3699,48.13670134597351,11.55189950546465,521.9949566200376,0.01123965997248888,0.006474760826677084,0.018098777160048485
3700,48.13670133695761,11.551899510577352,521.9947412842885,0.011682143434882164,0.0066674575209617615,0.018635811284184456
3701,48.13670134358018,11.551899503067235,521.9944503763691,0.011771504767239094,0.006712969858199358,0.018805550411343575
3702,48.13670134987088,11.551899500169801,521.9941275706515,0.011853661388158798,0.006757577881217003,0.01896592229604721
3703,48.13670137909758,11.551899488882,521.9937214683741,0.011928803287446499,0.0068045081570744514,0.019128670915961266
3704,48.136701348141195,11.551899507289464,521.9949740441516,0.01201099157333374,0.006852662656456232,0.01928907446563244
3705,48.13670134390116,11.551899497379567,521.9938932713121,0.012084183283150196,0.006895826663821936,0.019444437697529793
3706,48.13670134947689,11.551899507924661,521.9923537382856,0.01013852283358574,0.0058714416809380054,0.01591677777469158
3707,48.13670137110687,11.551899500220804,521.9932494973764,0.010222057811915874,0.005922083277255297,0.016102660447359085
3708,48.13670134638724,11.551899526221137,521.9933340372518,0.010303739458322525,0.005968871060758829,0.016276158392429352
3709,48.136701341384985,11.551899503152107,521.9900789000094,0.010380725376307964,0.006018513813614845,0.01644955761730671
3710,48.136701339181464,11.551899506395095,521.9904279923066,0.0104772774502635,0.0060683367773890495,0.016617966815829277
3711,48.13670131920581,11.551899512479764,521.9909959854558,0.010556284338235855,0.006113475188612938,0.016784070059657097
3712,48.1367013495362,11.551899503873063,521.990088625811,0.01063649170100689,0.006161414552479982,0.016956163570284843
3713,48.13670136299635,11.551899521156328,521.992481354624,0.010711791925132275,0.006206865888088942,0.01711975410580635
3714,48.136701343564745,11.551899512250921,521.9934097956866,0.010798878967761993,0.00625249557197094,0.01727745309472084
3715,48.13670134843681,11.551899506880835,521.9927959702909,0.010868149809539318,0.006294980179518461,0.01743132248520851
3716,48.136701345042,11.551899508914591,521.993226009421,0.011024657636880875,0.006383686326444149,0.017750797793269157
3717,48.13670133759795,11.551899501526524,521.9912203354761,0.011104372330009937,0.006427598651498556,0.017907708883285522
3718,48.136701330128645,11.551899507192006,521.9886618554592,0.01117182057350874,0.00646881852298975,0.018059929832816124
3719,48.13670134458028,11.551899502275258,521.9921253854409,0.011608685366809368,0.0066735767759382725,0.018603021278977394
3720,48.13670132051519,11.551899509189198,521.9898101696745,0.011692170985043049,0.006719333119690418,0.018774406984448433
3721,48.13670130512771,11.551899513691126,521.9929955545813,0.011769600212574005,0.006767082028090954,0.018942570313811302
3722,48.13670133550185,11.551899508057865,521.9929050281644,0.01186232641339302,0.006809267681092024,0.019100654870271683
3723,48.13670132153907,11.551899508598881,521.9893757998943,0.01194743998348713,0.006851720158010721,0.019259357824921608
3724,48.13670134246968,11.551899475181248,521.9931738814339,0.010037578642368317,0.006039299536496401,0.01574895530939102
3725,48.13670133900163,11.551899486075175,521.993272010237,0.010126497596502304,0.00608746288344264,0.01593136601150036
3726,48.136701329537004,11.551899481576193,521.9935396751389,0.01020815595984459,0.006133336573839188,0.016107475385069847
3727,48.136701347758255,11.551899479192514,521.9947848813608,0.010282628238201141,0.006177921779453754,0.01628262922167778
3728,48.136701340789976,11.551899497002559,521.9923939844593,0.010378552600741386,0.006225321441888809,0.016465850174427032
3729,48.13670134590025,11.551899487738252,521.9909876892343,0.010469856671988964,0.0062700305134058,0.01663600467145443
